frame,substep,transition,dEnergy,dSpeed,dGXV,dGrad,toStage,toMaxGradName,toMaxGradX,toMaxGradY
273,10,"afterCipVelocity->afterRhs",-0.000006818,-0.000070477,0,0,"afterRhs","GXV",79,64
273,10,"afterRhs->afterNewGradV",0,0,-0.000005215,-0.000005215,"afterNewGradV","GXV",79,64
273,10,"afterNewGradV->afterNewGradU",0,0,0,0,"afterNewGradU","GXV",79,64
273,11,"beforeCip->afterCipVelocity",0.000108443,0.000255063,0.002238631,0.002238631,"afterCipVelocity","GXV",79,64
273,11,"afterCipVelocity->afterRhs",-0.000006821,-0.000070836,0,0,"afterRhs","GXV",79,64
273,11,"afterRhs->afterNewGradV",0,0,-0.000005245,-0.000005245,"afterNewGradV","GXV",79,64
273,11,"afterNewGradV->afterNewGradU",0,0,0,0,"afterNewGradU","GXV",79,64
274,0,"beforeCip->afterCipVelocity",0.000110255,0.000257196,0.002254635,0.002254635,"afterCipVelocity","GXV",79,64
274,0,"afterCipVelocity->afterRhs",-0.000006826,-0.000071195,0,0,"afterRhs","GXV",79,64
274,0,"afterRhs->afterNewGradV",0,0,-0.000005245,-0.000005245,"afterNewGradV","GXV",79,64
274,0,"afterNewGradV->afterNewGradU",0,0,0,0,"afterNewGradU","GXV",79,64
274,1,"beforeCip->afterCipVelocity",0.000112101,0.000259333,0.002270788,0.002270788,"afterCipVelocity","GXV",79,64
274,1,"afterCipVelocity->afterRhs",-0.000006829,-0.00007155,0,0,"afterRhs","GXV",79,64
274,1,"afterRhs->afterNewGradV",0,0,-0.000005245,-0.000005245,"afterNewGradV","GXV",79,64
274,1,"afterNewGradV->afterNewGradU",0,0,0,0,"afterNewGradU","GXV",79,64
274,2,"beforeCip->afterCipVelocity",0.00011398,0.000261473,0.00228709,0.00228709,"afterCipVelocity","GXV",79,64
274,2,"afterCipVelocity->afterRhs",-0.000006832,-0.000071893,0,0,"afterRhs","GXV",79,64
